id,Country,Year,DiseaseName,DiseaseCategory,PrevalenceRate,IncidenceRate,MortalityRate,AgeGroup,Gender,PopulationAffected,HealthcareAccess,DoctorsPer1000,HospitalBedsPer1000,TreatmentType,AverageTreatmentCost,AvailabilityOfVaccinesTreatment,RecoveryRate,DALYs,ImprovementIn5Years,PerCapitaIncome,EducationIndex,UrbanizationRate
65,Nigeria,2010,Diabetes,Cardiovascular,18.17,6.2,2.12,19-35,Female,985553,88.65,3.82,5.76,Therapy,14348.0,No,88.66,1984.0,4.35,45639.0,0.51,73.39
66,Russia,2008,Asthma,Metabolic,1.69,7.96,7.09,0-18,Other,879623,98.94,1.41,3.93,Surgery,12685.0,No,72.26,760.0,5.6,44330.0,0.58,77.15
69,South Korea,2000,Alzheimer's Disease,Genetic,3.96,5.55,0.62,36-60,Male,815017,80.67,1.09,3.0,Therapy,42062.0,Yes,67.77,800.0,5.45,91647.0,0.45,31.22
72,Argentina,2006,Measles,Infectious,3.95,4.0,8.84,0-18,Male,116183,77.08,4.75,6.01,Surgery,22983.0,No,64.73,3375.0,1.49,27909.0,0.76,79.55
73,USA,2002,Hepatitis,Respiratory,7.13,6.96,4.02,61+,Other,251611,53.4,2.28,2.55,Therapy,45671.0,Yes,94.23,1869.0,1.21,84905.0,0.82,88.36
76,Turkey,2003,HIV/AIDS,Metabolic,18.56,0.9,7.51,0-18,Female,751970,92.95,0.89,2.85,Vaccination,25402.0,No,78.8,3688.0,2.15,57913.0,0.64,41.13
84,Germany,2008,Polio,Metabolic,15.02,0.38,7.85,19-35,Male,675112,95.64,2.01,9.62,Medication,37518.0,Yes,62.14,4181.0,5.4,66035.0,0.75,84.16
86,France,2012,Polio,Genetic,17.97,14.95,0.51,61+,Male,472620,70.33,4.06,6.18,Vaccination,38948.0,No,58.35,2145.0,7.04,48508.0,0.89,42.88
99,Brazil,2009,Rabies,Autoimmune,4.96,5.73,6.74,61+,Male,468156,80.73,4.03,9.4,Therapy,15324.0,No,90.18,3420.0,9.89,94506.0,0.48,68.94
101,Brazil,2016,Leprosy,Autoimmune,1.22,11.06,9.54,61+,Female,78563,77.08,2.28,4.37,Medication,20016.0,No,86.81,2023.0,0.05,15506.0,0.41,36.11
102,Russia,2021,Diabetes,Autoimmune,14.29,1.57,7.12,0-18,Female,920061,70.1,2.61,4.03,Vaccination,38676.0,No,87.97,2370.0,0.24,87314.0,0.75,39.47
108,Japan,2013,Alzheimer's Disease,Metabolic,6.24,2.74,0.38,19-35,Female,574312,88.68,0.82,4.68,Vaccination,22952.0,Yes,51.68,2959.0,0.87,17778.0,0.8,34.27
112,China,2013,Hepatitis,Metabolic,15.83,0.95,2.06,36-60,Male,696874,72.54,2.28,8.5,Surgery,44472.0,Yes,54.76,1410.0,9.36,33958.0,0.83,40.23
116,South Korea,2007,Cholera,Genetic,5.13,6.29,2.12,61+,Other,641206,85.48,0.67,4.46,Surgery,4233.0,Yes,65.96,1354.0,3.11,27899.0,0.74,47.13
121,Saudi Arabia,2007,Diabetes,Parasitic,5.5,14.36,9.2,19-35,Other,546335,71.61,3.51,8.95,Surgery,37978.0,No,54.99,3313.0,4.68,65831.0,0.71,38.02
127,India,2000,Tuberculosis,Neurological,4.11,12.63,3.34,19-35,Other,487858,72.5,3.81,1.75,Therapy,36473.0,Yes,63.61,1006.0,4.71,96423.0,0.49,82.85
132,Germany,2020,Polio,Viral,1.6,10.78,2.3,36-60,Other,583108,68.29,4.65,3.78,Therapy,31708.0,No,97.8,3740.0,7.11,85897.0,0.62,55.51
135,Brazil,2000,Zika,Metabolic,14.48,5.42,3.49,61+,Female,391316,98.41,1.34,7.7,Therapy,1036.0,Yes,71.26,4789.0,5.72,54529.0,0.66,22.22
136,Indonesia,2011,Measles,Genetic,0.7,7.19,5.33,36-60,Other,622322,73.18,3.13,7.37,Vaccination,15470.0,Yes,52.66,26.0,8.16,54588.0,0.49,41.92
140,Australia,2019,Influenza,Cardiovascular,6.98,3.24,5.95,36-60,Other,530109,80.27,4.06,7.35,Surgery,37990.0,No,86.87,2150.0,0.29,53867.0,0.69,80.69
148,Australia,2016,Hypertension,Autoimmune,8.63,1.82,8.79,61+,Male,119821,68.25,0.53,4.75,Medication,13684.0,No,82.17,3334.0,5.04,54058.0,0.48,49.33
153,Brazil,2012,COVID-19,Bacterial,16.96,10.94,1.14,0-18,Female,649479,55.18,4.19,7.33,Surgery,4420.0,No,69.43,3022.0,9.01,39858.0,0.63,52.51
158,Argentina,2014,Asthma,Neurological,12.73,8.53,3.42,0-18,Female,267470,55.57,1.27,3.96,Medication,39981.0,Yes,50.41,4447.0,4.42,78847.0,0.79,54.25
159,China,2019,Alzheimer's Disease,Bacterial,12.37,1.92,8.57,61+,Male,674211,86.77,1.15,3.22,Vaccination,30285.0,No,58.38,521.0,0.4,12288.0,0.84,78.13
160,Turkey,2007,Dengue,Autoimmune,8.83,9.3,3.08,61+,Male,327893,51.36,3.12,4.87,Medication,38755.0,No,58.18,4823.0,2.06,61524.0,0.9,52.11
163,Australia,2003,Leprosy,Respiratory,12.86,9.48,2.11,36-60,Other,941410,72.74,1.99,1.96,Medication,13611.0,Yes,85.86,2390.0,4.79,73626.0,0.55,46.91
166,Mexico,2002,Cholera,Neurological,15.48,2.37,1.28,19-35,Male,795152,84.52,1.66,4.09,Therapy,5227.0,Yes,78.25,3299.0,2.32,62623.0,0.51,76.02
167,Russia,2005,HIV/AIDS,Bacterial,13.66,10.43,0.54,36-60,Male,150727,56.03,1.18,0.99,Surgery,10313.0,No,98.5,970.0,1.49,31288.0,0.78,47.86
173,Germany,2009,HIV/AIDS,Respiratory,0.97,3.97,2.22,0-18,Female,881564,89.55,4.04,6.1,Surgery,46305.0,No,61.33,3311.0,5.89,23002.0,0.77,37.53
174,UK,2022,Ebola,Infectious,13.47,1.67,7.39,0-18,Male,757339,62.94,1.86,2.72,Surgery,22504.0,Yes,93.31,1707.0,3.28,29661.0,0.44,65.25
178,Saudi Arabia,2014,Asthma,Respiratory,12.52,8.0,3.27,19-35,Male,679341,53.21,2.86,9.82,Surgery,21986.0,Yes,59.25,4051.0,9.09,42231.0,0.9,55.44
179,Indonesia,2017,Zika,Infectious,11.76,3.46,4.69,36-60,Female,927687,55.55,1.49,9.91,Surgery,25038.0,No,57.22,3544.0,3.75,53300.0,0.63,59.25
188,India,2022,Cancer,Neurological,12.16,5.23,4.93,61+,Female,462287,83.75,0.74,6.91,Medication,32568.0,Yes,92.27,859.0,0.27,78009.0,0.75,31.35
189,France,2011,Alzheimer's Disease,Infectious,1.38,1.53,9.42,19-35,Male,181315,71.72,2.7,8.55,Surgery,10746.0,No,74.96,145.0,8.71,95953.0,0.52,36.68
190,China,2013,Parkinson's Disease,Genetic,18.11,9.69,7.56,61+,Other,245909,60.16,1.86,2.53,Vaccination,15331.0,No,64.27,4961.0,1.31,53838.0,0.89,55.44
200,Canada,2019,Parkinson's Disease,Metabolic,7.67,11.75,9.43,19-35,Female,74107,63.52,4.78,5.83,Surgery,45020.0,No,81.39,1309.0,9.86,15781.0,0.9,40.58
205,Japan,2019,Dengue,Autoimmune,19.73,9.45,3.46,0-18,Male,485580,70.88,1.88,4.25,Medication,46130.0,No,95.33,2429.0,3.24,43160.0,0.55,69.6
211,USA,2001,Alzheimer's Disease,Chronic,15.92,0.31,0.2,36-60,Male,653764,95.67,3.57,2.95,Vaccination,48126.0,No,72.62,2622.0,6.4,11783.0,0.85,53.47
219,France,2002,Influenza,Viral,8.39,10.3,7.0,36-60,Female,566300,55.09,2.72,1.36,Therapy,28493.0,No,95.1,3303.0,3.34,6911.0,0.69,21.25
227,Mexico,2006,Influenza,Respiratory,8.87,9.33,2.73,36-60,Other,232757,83.33,4.64,4.05,Vaccination,45105.0,No,64.62,3520.0,1.46,65177.0,0.61,22.67
228,Italy,2006,Polio,Metabolic,9.4,11.78,6.43,19-35,Female,39955,98.33,0.7,6.89,Medication,17911.0,Yes,68.46,2148.0,7.8,46301.0,0.55,61.11
230,Russia,2005,Dengue,Viral,5.73,2.78,6.74,61+,Male,462925,93.04,4.39,7.76,Medication,34429.0,No,84.51,304.0,9.64,52338.0,0.62,41.79
232,Japan,2002,Leprosy,Cardiovascular,15.39,12.12,4.78,0-18,Male,264016,86.42,3.74,4.81,Medication,14256.0,No,63.08,1059.0,1.18,63922.0,0.49,54.95
241,Indonesia,2017,Parkinson's Disease,Bacterial,10.98,9.7,5.39,0-18,Other,361064,55.71,2.84,0.64,Vaccination,41744.0,Yes,51.69,4440.0,7.76,7192.0,0.76,60.87
243,South Korea,2013,Cholera,Bacterial,17.24,13.0,6.09,0-18,Female,475133,89.55,3.45,3.02,Medication,24813.0,Yes,56.29,3904.0,9.77,60358.0,0.83,60.29
244,Brazil,2008,Alzheimer's Disease,Autoimmune,6.46,13.76,2.27,36-60,Male,998568,92.71,4.47,6.06,Vaccination,38135.0,No,67.41,4249.0,0.47,16932.0,0.46,58.73
253,Russia,2017,Measles,Bacterial,12.64,0.51,6.44,0-18,Female,394381,98.55,1.48,9.32,Surgery,44191.0,Yes,67.3,1832.0,1.85,34263.0,0.49,58.29
266,Australia,2011,Cancer,Respiratory,19.43,13.49,5.76,19-35,Other,315669,64.04,3.1,6.1,Therapy,36173.0,No,85.17,2058.0,6.77,46509.0,0.85,86.16
267,UK,2007,Hypertension,Genetic,3.42,4.23,8.49,0-18,Male,183719,70.07,2.18,8.3,Therapy,32051.0,Yes,66.06,4060.0,4.37,27358.0,0.86,54.33
268,Japan,2003,Influenza,Parasitic,2.36,6.66,4.84,36-60,Other,332304,74.38,4.48,7.6,Surgery,9824.0,No,82.29,4840.0,1.11,77515.0,0.42,52.51
273,India,2009,Asthma,Respiratory,11.09,0.61,0.19,61+,Male,443507,98.45,1.62,1.21,Medication,35639.0,Yes,74.77,3610.0,9.78,16646.0,0.8,28.3
274,China,2007,Leprosy,Autoimmune,18.57,0.33,1.47,36-60,Male,367840,65.1,0.62,2.21,Therapy,37204.0,Yes,66.61,1540.0,5.32,82814.0,0.65,70.26
278,Brazil,2022,HIV/AIDS,Chronic,11.8,1.9,1.45,36-60,Other,959393,55.91,4.21,9.55,Vaccination,39717.0,Yes,50.28,4973.0,3.61,50253.0,0.72,57.75
280,Brazil,2001,Cancer,Parasitic,0.15,12.68,9.36,19-35,Male,358457,97.03,3.15,6.79,Therapy,28228.0,No,59.11,3346.0,0.07,41284.0,0.52,55.24
286,Indonesia,2001,COVID-19,Bacterial,6.8,4.31,2.88,36-60,Other,581445,92.98,4.55,3.23,Medication,23536.0,Yes,81.97,261.0,2.62,3910.0,0.69,38.9
295,India,2013,Leprosy,Viral,9.75,4.81,0.33,36-60,Female,366510,98.73,2.72,4.97,Surgery,33714.0,No,73.8,1034.0,5.63,76056.0,0.72,88.94
299,Argentina,2005,Polio,Parasitic,14.08,1.03,1.78,19-35,Female,864131,93.24,2.24,0.94,Therapy,41524.0,No,92.16,332.0,2.96,92640.0,0.56,34.37
302,Nigeria,2015,Hypertension,Viral,16.0,7.58,9.45,36-60,Male,943177,69.97,1.18,1.99,Vaccination,12713.0,Yes,73.64,465.0,2.67,27661.0,0.8,34.88
303,India,2013,Parkinson's Disease,Cardiovascular,9.45,8.26,5.19,61+,Other,37439,91.4,0.62,5.61,Vaccination,35565.0,Yes,91.47,374.0,3.71,3399.0,0.41,49.09
304,Australia,2016,Leprosy,Infectious,14.61,0.18,5.94,36-60,Other,280996,99.5,4.91,3.78,Therapy,46369.0,No,77.2,803.0,8.09,84027.0,0.72,72.99
305,Australia,2000,Zika,Neurological,11.27,13.78,6.65,36-60,Female,428655,50.38,1.13,1.75,Vaccination,21342.0,Yes,72.4,4558.0,3.08,95615.0,0.48,39.12
313,Brazil,2000,Cancer,Bacterial,16.02,8.57,0.7,61+,Other,945633,80.4,2.31,9.43,Medication,30880.0,No,89.9,4568.0,7.31,84361.0,0.53,44.34
320,Japan,2014,Zika,Bacterial,14.12,3.45,6.5,36-60,Other,85481,53.04,4.09,7.5,Medication,31249.0,No,50.44,1462.0,4.09,82851.0,0.58,76.19
328,Argentina,2014,Rabies,Metabolic,7.6,5.99,6.76,19-35,Female,491998,97.68,3.21,7.82,Medication,14263.0,Yes,65.32,151.0,5.68,3742.0,0.62,74.4
332,Canada,2009,Cholera,Parasitic,0.74,1.45,7.24,19-35,Male,366915,92.27,3.03,9.32,Medication,21404.0,Yes,76.76,1537.0,6.29,91385.0,0.76,56.04
345,Nigeria,2023,Measles,Respiratory,4.48,4.96,8.83,19-35,Female,221895,96.19,2.34,9.97,Surgery,47160.0,Yes,79.48,2969.0,9.69,6193.0,0.81,20.6
348,USA,2002,Rabies,Respiratory,3.34,6.99,0.93,0-18,Other,126019,84.8,4.04,3.74,Surgery,44861.0,No,62.39,4361.0,6.87,4155.0,0.42,60.69
350,Argentina,2010,Ebola,Genetic,12.8,4.04,6.93,19-35,Female,784061,58.15,1.33,0.55,Vaccination,15643.0,No,54.26,4077.0,6.15,25263.0,0.74,20.39
353,Indonesia,2012,HIV/AIDS,Infectious,1.57,7.5,5.09,61+,Other,544349,74.04,3.45,7.03,Medication,12250.0,Yes,87.07,545.0,7.37,79615.0,0.88,69.74
365,South Africa,2021,Cholera,Viral,17.83,9.44,9.88,19-35,Other,729380,66.77,3.19,1.22,Therapy,18138.0,No,53.29,4680.0,6.29,12438.0,0.42,29.54
368,Japan,2013,HIV/AIDS,Neurological,7.54,14.43,7.38,61+,Male,337401,56.1,3.67,2.75,Surgery,38848.0,No,82.24,969.0,8.11,68043.0,0.49,61.48
375,India,2020,Parkinson's Disease,Metabolic,17.87,8.07,1.21,36-60,Female,732806,63.4,1.7,3.26,Medication,7682.0,No,90.27,1719.0,8.49,787.0,0.45,30.66
378,USA,2000,Leprosy,Cardiovascular,10.87,4.28,6.94,19-35,Male,359015,76.64,1.11,5.78,Therapy,34599.0,Yes,98.0,4437.0,7.1,13845.0,0.87,36.63
402,Nigeria,2016,Zika,Parasitic,2.62,5.91,8.43,19-35,Female,316498,63.97,3.95,1.44,Vaccination,33807.0,No,55.24,3791.0,8.7,41519.0,0.77,79.91
407,South Africa,2021,Leprosy,Infectious,18.71,7.93,1.33,19-35,Female,405161,52.04,3.05,9.31,Medication,1495.0,Yes,54.98,1975.0,7.25,24699.0,0.41,49.08
412,India,2015,Measles,Bacterial,17.71,6.25,1.24,19-35,Male,448787,97.78,3.95,9.29,Surgery,24320.0,No,54.51,3035.0,6.22,61471.0,0.71,81.87
414,Russia,2010,Hypertension,Parasitic,4.77,3.8,3.21,0-18,Male,105706,80.95,4.26,6.81,Vaccination,25651.0,Yes,84.66,988.0,7.0,95942.0,0.43,57.52
420,Russia,2010,Zika,Neurological,1.52,9.91,2.04,19-35,Other,19849,73.78,2.92,0.69,Vaccination,21865.0,No,87.23,1157.0,3.84,41843.0,0.61,74.6
434,Nigeria,2009,Polio,Metabolic,8.33,3.49,9.97,36-60,Other,70299,60.78,4.79,1.79,Therapy,21619.0,Yes,75.76,2261.0,8.91,52046.0,0.61,76.07
438,South Africa,2023,Rabies,Respiratory,18.62,1.1,9.29,19-35,Male,769808,65.25,3.1,9.95,Therapy,16411.0,Yes,77.12,4109.0,4.92,88198.0,0.79,46.83
443,Russia,2011,Parkinson's Disease,Autoimmune,16.68,6.88,2.22,0-18,Male,815348,50.8,3.75,5.0,Medication,35945.0,Yes,85.38,2948.0,7.0,2064.0,0.86,33.85
444,Mexico,2020,Dengue,Neurological,10.12,14.95,5.99,61+,Female,130680,90.22,3.87,9.21,Therapy,18741.0,Yes,86.78,2525.0,0.04,88559.0,0.86,62.69
445,Australia,2000,Rabies,Parasitic,14.84,2.45,5.33,0-18,Female,52043,50.78,4.96,3.69,Surgery,49160.0,Yes,74.28,273.0,9.66,4363.0,0.89,65.52
446,Russia,2000,Ebola,Respiratory,12.34,6.68,7.49,36-60,Other,223321,97.55,4.05,4.01,Medication,2511.0,Yes,65.27,2293.0,9.53,25868.0,0.46,26.0
451,Australia,2009,Parkinson's Disease,Genetic,12.86,11.08,2.08,19-35,Other,538726,98.74,1.92,2.84,Therapy,32714.0,Yes,52.79,1788.0,9.95,85051.0,0.78,66.16
457,Turkey,2007,Dengue,Bacterial,5.09,4.7,2.73,36-60,Male,118790,97.21,2.0,9.15,Therapy,40496.0,No,86.1,2046.0,2.32,35964.0,0.44,58.35
458,Italy,2015,Tuberculosis,Genetic,0.26,12.69,0.57,0-18,Male,564911,94.96,0.56,4.18,Therapy,21766.0,Yes,70.55,3140.0,1.89,56660.0,0.78,24.87
465,Indonesia,2009,Diabetes,Metabolic,9.69,2.06,8.39,61+,Female,52110,85.86,4.63,1.84,Vaccination,21623.0,No,62.56,1893.0,6.24,62897.0,0.76,73.72
466,Russia,2010,COVID-19,Parasitic,4.52,11.35,8.01,36-60,Other,403710,69.26,4.44,3.42,Vaccination,33718.0,No,90.91,4976.0,7.12,90148.0,0.86,67.77
467,France,2024,Parkinson's Disease,Autoimmune,6.68,11.92,6.81,61+,Female,42803,69.1,4.93,0.61,Medication,10962.0,Yes,88.87,1355.0,4.52,76482.0,0.68,26.75
473,South Africa,2014,Diabetes,Metabolic,7.81,1.73,6.37,0-18,Other,183214,63.05,0.67,8.12,Medication,11335.0,No,60.13,2168.0,7.79,22704.0,0.41,72.06
474,Italy,2010,Hypertension,Infectious,6.08,10.0,5.51,0-18,Female,443392,87.93,1.09,4.59,Therapy,8833.0,Yes,77.59,4780.0,0.19,26487.0,0.74,57.01
482,France,2000,Asthma,Genetic,19.62,5.45,5.12,36-60,Other,382629,83.01,2.6,2.66,Surgery,7132.0,No,56.67,3462.0,8.94,48107.0,0.64,75.34
492,Brazil,2012,Diabetes,Neurological,7.99,1.47,2.56,19-35,Male,718125,92.62,1.52,4.29,Therapy,28827.0,No,71.31,855.0,4.59,42561.0,0.54,29.15
496,Japan,2008,HIV/AIDS,Metabolic,13.83,3.71,0.19,36-60,Other,647000,65.08,3.79,5.6,Vaccination,11474.0,No,70.41,3538.0,8.53,58137.0,0.72,25.36
498,India,2012,Measles,Autoimmune,4.11,7.85,7.35,0-18,Female,198773,55.59,3.25,6.83,Therapy,9339.0,Yes,70.95,3183.0,8.13,31222.0,0.81,71.37
508,Japan,2005,Cancer,Respiratory,2.32,14.54,7.25,19-35,Male,533056,57.83,2.27,1.75,Therapy,5069.0,No,87.52,1982.0,5.89,11763.0,0.87,83.67
511,France,2020,Dengue,Viral,16.02,1.29,5.72,61+,Male,593749,92.79,0.62,2.06,Therapy,7442.0,Yes,78.32,497.0,1.92,78839.0,0.87,72.75
512,France,2020,Rabies,Autoimmune,16.01,3.82,8.82,0-18,Female,514095,54.77,3.58,9.37,Medication,44988.0,Yes,78.24,277.0,5.5,67938.0,0.77,37.47
517,South Africa,2007,Cancer,Neurological,9.31,7.1,5.38,61+,Male,51730,73.36,4.47,8.09,Medication,23158.0,No,74.71,3732.0,9.04,93907.0,0.63,30.93
523,Japan,2007,Leprosy,Viral,1.52,0.25,1.72,36-60,Male,567094,79.95,0.56,9.62,Medication,7829.0,Yes,73.59,2234.0,6.88,47649.0,0.67,75.11
530,Brazil,2022,Zika,Respiratory,15.12,1.29,2.32,36-60,Male,731934,81.72,1.89,1.99,Surgery,21539.0,No,57.85,109.0,4.34,16181.0,0.66,64.95
534,Argentina,2007,Parkinson's Disease,Infectious,13.8,3.95,7.11,36-60,Other,499771,84.27,3.06,7.36,Vaccination,23674.0,No,97.29,524.0,6.3,66070.0,0.8,39.83
539,UK,2001,Tuberculosis,Parasitic,15.9,4.89,5.49,0-18,Other,897209,63.33,4.44,0.91,Medication,22437.0,Yes,65.65,1796.0,1.31,9334.0,0.46,89.49
541,Italy,2014,Leprosy,Respiratory,9.95,7.52,2.9,36-60,Male,136925,88.35,0.71,4.91,Vaccination,45226.0,Yes,75.68,3295.0,6.75,76524.0,0.72,82.66
554,Canada,2011,Ebola,Metabolic,14.6,0.19,7.13,36-60,Other,741161,84.63,1.04,6.77,Therapy,7978.0,No,52.88,2439.0,5.36,27408.0,0.71,79.29
563,Turkey,2014,Measles,Respiratory,18.82,11.65,1.9,19-35,Other,133104,61.24,2.24,9.44,Vaccination,41838.0,No,50.47,3821.0,2.78,30598.0,0.52,86.49
569,Canada,2008,Asthma,Infectious,18.44,8.52,7.76,0-18,Other,144702,50.24,3.36,6.46,Surgery,13128.0,No,80.39,4201.0,9.11,12559.0,0.59,84.99
581,South Africa,2020,Ebola,Autoimmune,17.25,7.87,3.66,0-18,Other,148785,56.23,4.15,9.34,Surgery,7891.0,Yes,51.96,3147.0,4.05,14549.0,0.78,24.4
587,South Africa,2022,Asthma,Bacterial,19.97,2.34,0.32,19-35,Other,542641,99.41,1.89,8.57,Medication,37764.0,No,63.48,896.0,5.77,4421.0,0.83,27.51
588,Canada,2016,Cancer,Chronic,5.54,7.23,3.87,36-60,Male,677602,57.52,0.74,2.07,Medication,28139.0,Yes,83.67,362.0,8.06,42662.0,0.55,73.78
595,Mexico,2022,Hypertension,Neurological,10.89,13.71,4.62,0-18,Female,192860,98.57,4.48,4.41,Vaccination,43861.0,No,53.43,2320.0,9.39,55886.0,0.61,33.4
604,China,2005,Polio,Cardiovascular,14.82,6.72,4.64,0-18,Other,57799,52.96,4.37,1.9,Therapy,40429.0,No,60.29,1227.0,9.71,53091.0,0.88,40.62
609,Turkey,2013,Cholera,Metabolic,14.94,7.76,4.11,36-60,Other,597321,75.54,0.64,2.61,Therapy,12347.0,Yes,78.42,3900.0,1.96,83096.0,0.73,48.96
616,Argentina,2001,Ebola,Neurological,10.65,11.0,2.62,61+,Male,408148,58.68,2.38,1.71,Vaccination,6387.0,Yes,68.18,855.0,8.47,74843.0,0.55,84.59
621,Japan,2011,Polio,Metabolic,6.31,8.75,6.67,0-18,Male,333244,68.92,2.35,1.42,Therapy,13098.0,No,67.48,3772.0,7.92,87077.0,0.47,77.46
623,UK,2020,Rabies,Chronic,7.01,11.18,4.61,36-60,Other,116279,74.66,1.93,9.82,Surgery,7881.0,No,54.38,1906.0,9.04,72334.0,0.45,64.75
632,Australia,2012,Ebola,Neurological,6.11,13.52,4.83,0-18,Other,674468,53.0,1.01,9.01,Surgery,21210.0,No,53.68,2859.0,4.2,81925.0,0.4,23.0
634,Saudi Arabia,2014,Rabies,Neurological,7.06,1.04,3.75,61+,Male,509395,55.37,0.61,2.9,Therapy,39000.0,Yes,54.54,2745.0,7.75,31080.0,0.57,85.99
641,Russia,2008,Diabetes,Respiratory,3.63,10.1,1.94,0-18,Male,333792,80.07,3.93,4.17,Medication,10305.0,No,59.27,1510.0,6.31,47842.0,0.52,43.76
645,Turkey,2008,Alzheimer's Disease,Bacterial,3.99,2.79,0.55,19-35,Male,399339,81.58,3.4,4.45,Medication,34345.0,Yes,96.24,133.0,8.47,76521.0,0.72,45.01
651,Argentina,2022,Zika,Bacterial,4.74,11.58,0.22,36-60,Female,607792,74.47,4.62,9.22,Surgery,32844.0,Yes,53.74,2133.0,3.26,5913.0,0.76,80.1
659,Argentina,2011,Ebola,Bacterial,19.42,1.28,4.63,61+,Other,812951,77.91,4.26,0.52,Surgery,24514.0,No,97.27,3257.0,8.45,98681.0,0.44,79.1
660,South Africa,2011,Measles,Neurological,19.41,13.13,2.53,0-18,Other,286167,69.14,2.93,8.58,Surgery,13061.0,No,60.44,4420.0,4.6,84911.0,0.52,56.95
667,UK,2010,Alzheimer's Disease,Viral,8.25,12.58,3.71,19-35,Other,675496,74.48,1.56,3.02,Vaccination,22844.0,No,57.49,4385.0,2.23,95199.0,0.75,83.45
678,Indonesia,2013,Cholera,Neurological,8.56,8.17,4.0,61+,Female,718269,80.55,4.49,6.59,Medication,19963.0,No,94.26,543.0,1.92,95041.0,0.86,80.8
681,Russia,2013,HIV/AIDS,Autoimmune,4.33,7.71,7.05,61+,Other,311127,96.16,1.58,9.7,Medication,9837.0,Yes,69.41,4144.0,3.07,48487.0,0.72,73.17
694,India,2005,Cancer,Infectious,18.86,2.25,4.38,36-60,Female,823359,58.02,3.18,5.53,Surgery,15174.0,No,59.73,4503.0,0.78,36443.0,0.49,29.2
702,India,2011,Asthma,Respiratory,10.99,10.6,6.78,19-35,Female,48182,72.84,3.92,8.43,Surgery,30635.0,Yes,53.72,3568.0,7.51,58653.0,0.67,42.11
718,Indonesia,2006,Hepatitis,Metabolic,6.2,2.4,6.86,19-35,Female,668292,54.44,3.53,4.79,Vaccination,43496.0,Yes,93.83,1564.0,6.67,59928.0,0.49,62.02
720,South Africa,2015,Parkinson's Disease,Chronic,7.55,13.75,0.54,0-18,Female,331895,65.74,0.73,3.1,Therapy,38554.0,No,91.37,79.0,3.87,18025.0,0.87,40.48
722,Australia,2018,Polio,Parasitic,6.12,11.3,7.3,36-60,Female,210995,69.41,1.63,7.78,Vaccination,18416.0,No,84.49,4222.0,7.85,84688.0,0.44,55.67
728,South Africa,2003,Influenza,Viral,11.67,1.25,8.99,19-35,Male,15723,95.01,0.68,3.69,Medication,41617.0,No,60.0,4032.0,9.97,32909.0,0.76,58.38
